name,rating,hours,categories,address
Waterclub,3 star rating,12:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 12:00 AM (Next day),American (Traditional);Dance Clubs;Venues & Event Spaces,"319 Victory Rd, Quincy, MA 02169"
Flight Club Darts Boston,4 star rating,4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 9:00 PM,Bars;American (New),"60 Seaport Blvd, Ste 215"
Carrie Nation Cocktail Club,3.5 star rating,Closed;11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day),American (Traditional);Cocktail Bars,"11 Beacon St, Boston, MA 02108"
Lucky Strike Fenway,2.5 star rating,4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 12:00 AM (Next day),Bowling;Venues & Event Spaces;Arcades,"145 Ipswich St, Boston, MA 02215"
Lucky Strike Fenway,2.5 star rating,4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 12:00 AM (Next day),Bowling;Venues & Event Spaces;Arcades,"145 Ipswich St, Boston, MA 02215"
Brighton Music Hall,3.5 star rating,,Music Venues,"158 Brighton Ave, Boston, MA 02134"
Ward 8,4 star rating,5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 2:00 AM (Next day);10:00 AM - 2:00 AM (Next day);10:00 AM - 1:00 AM (Next day),Cocktail Bars;American (Traditional),"90 N Washington St, Boston, MA 02113"
Noir,3.5 star rating,4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;4:00 PM - 11:00 PM;Closed,Lounges;Cocktail Bars;Whiskey Bars,"1 Bennett St, Cambridge, MA 02138"
The Beehive,3.5 star rating,5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 12:00 AM (Next day);5:00 PM - 1:30 AM (Next day);10:00 AM - 1:30 AM (Next day);10:00 AM - 11:00 PM,American (Traditional);Breakfast & Brunch;Bars,"541 Tremont St, Boston, MA 02116"
Stanza Dei Sigari,4 star rating,12:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day),Lounges;Hookah Bars;Cigar Bars,"292 Hanover St, Boston, MA 02113"
The Landing,3.5 star rating,11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM,Bars,"One Long Wharf, Boston, MA 02110"
House of Blues Boston- Music Venue,2.5 star rating,Closed;Closed;Closed;6:00 PM - 11:00 PM;6:00 PM - 1:00 AM (Next day);6:00 PM - 1:00 AM (Next day);Closed,Venues & Event Spaces;Music Venues,"15 Lansdowne St, Boston, MA 02215"
Karma Lounge,3 star rating,Closed;8:00 PM - 12:00 AM (Next day);8:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day),Hookah Bars;Cocktail Bars,"355 Ferry St, Everett, MA 02149"
Little Donkey,4 star rating,5:00 PM - 10:00 PM;5:00 PM - 10:00 PM;5:00 PM - 10:00 PM;5:00 PM - 10:00 PM;5:00 PM - 10:00 PM;5:00 PM - 10:00 PM;Closed,Tapas/Small Plates;Bars;Seafood,"505 Massachusetts Ave, Cambridge, MA 02139"
Hong Kong At Faneuil Hall,3 star rating,,Bars;Chinese;Karaoke,N/A
