name,rating,hours,categories,address
TITLE Boxing Club,3 star rating,5:00 AM - 9:00 PM;5:30 AM - 9:00 PM;5:00 AM - 9:00 PM;5:30 AM - 9:00 PM;5:00 AM - 8:00 PM;8:00 AM - 2:00 PM;8:00 AM - 12:00 PM,Gyms;Boxing;Trainers,"338 Newbury St, Boston, MA 02115"
Naomi Rotstein Personal Training,5 star rating,6:00 AM - 7:30 PM;6:00 AM - 7:30 PM;6:00 AM - 7:30 PM;6:00 AM - 7:30 PM;6:00 AM - 7:30 PM;6:00 AM - 7:30 PM;6:00 AM - 7:30 PM,Trainers,"12 Clarendon St, Boston, MA 02116"
Titus Sparrow Park,5 star rating,,Parks,"West Newton At Columbus, Boston, MA 02118"
Jack Kirrane Ice Skating Rink,4 star rating,Closed;9:30 AM - 11:30 AM;Closed;9:30 AM - 11:30 AM;8:00 PM - 10:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM,Skating Rinks,"23 Newton St, Brookline, MA 02467"
Secret Squantum Park,4 star rating,,Parks,"20 Moon Island Rd, North Quincy, MA 02171"
Magazine Beach,4.5 star rating,,Parks,"719 Memorial Dr, Cambridge, MA 02238"
James Hayes Park,5 star rating,,Parks,"173 W Canton St, Boston, MA 02116"
Garvey Playground,5 star rating,,Parks;Playgrounds,"340 Neponset Ave, Boston, MA 02122"
Woo Ching White Crane Kung Fu,N/A,,,"90 Tyler St, Boston, MA 02111"
Esh Circus Arts,4.5 star rating,,Trainers;Performing Arts,"44 Park St, Somerville, MA 02143"
Neoponset River Reservation,3 star rating,,Rafting/Kayaking;Hiking;Fishing,"76 Hill Top St, Boston, MA 02124"
Sambo For All,N/A,6:00 PM - 9:00 PM;Closed;6:00 AM - 9:00 PM;Closed;6:00 PM - 9:00 PM;Closed;Closed,,"1 Broadway, Arlington, MA 02474"
Publicly Organized Recreational Territory - PORT,4.5 star rating,,Parks,"99 Marginal St, Chelsea, MA 02150"
Abigail Adams State Park,4.5 star rating,,Hiking;Parks,"770 Bridge St, Weymouth, MA 02191"
Gold Star Pool,4 star rating,3:00 PM - 7:00 PM;3:00 PM - 7:00 PM;3:00 PM - 7:00 PM;3:00 PM - 7:00 PM;3:00 PM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM,Swimming Pools,"123 Berkshire St, Cambridge, MA 02141"
Corey Hill Outlook,4.5 star rating,,Parks,"Summit Ave, Brookline, MA 02445"
